step,action,reward,balance,shares_held,portfolio_value,price,timestamp
52,1.0,-0.0028833290634624064,0.0,0.23111005638526966,10196.577998818662,44120.01,2024-01-07 20:00:00
53,1.0,0.0025773393488083456,0.0,0.23111005638526966,10222.351392306746,44231.53,2024-01-07 21:00:00
54,1.0,-0.008520565558812086,0.0,0.23111005638526966,10137.145736718625,43862.85,2024-01-07 22:00:00
55,1.0,0.0015292552431012154,0.0,0.23111005638526966,10152.438289149637,43929.02,2024-01-07 23:00:00
56,1.0,-0.0068644308947550595,0.0,0.23111005638526966,10083.793980202086,43632.0,2024-01-08 00:00:00
57,1.0,0.0018733781170589283,0.0,0.23111005638526966,10102.527761372676,43713.06,2024-01-08 01:00:00
58,1.0,-0.0079032705982072,0.0,0.23111005638526966,10023.495055390604,43371.09,2024-01-08 02:00:00
59,1.0,0.0033998600394837923,0.0,0.23111005638526966,10057.493655785442,43518.2,2024-01-08 03:00:00
60,1.0,0.00187337811705911,0.0,0.23111005638526966,10076.227436956033,43599.26,2024-01-08 04:00:00
61,1.0,0.0009817555195244495,0.0,0.23111005638526966,10086.044992151277,43641.74,2024-01-08 05:00:00
62,1.0,0.00626608695877403,0.0,0.23111005638526966,10148.705861739018,43912.87,2024-01-08 06:00:00
63,1.0,0.0014254868277843342,0.0,0.23111005638526966,10162.96073001686,43974.55,2024-01-08 07:00:00
64,1.0,-0.0024502288177967783,0.0,0.23111005638526966,10138.458441838893,43868.53,2024-01-08 08:00:00
65,1.0,-0.0034220466048966044,0.0,0.23111005638526966,10104.237975789927,43720.46,2024-01-08 09:00:00
66,1.0,0.008513863367176964,0.0,0.23111005638526966,10189.376609461697,44088.85,2024-01-08 10:00:00
67,1.0,0.01264495562506363,0.0,0.23111005638526966,10315.826165712333,44635.99,2024-01-08 11:00:00
68,1.0,0.010980038778864037,0.0,0.23111005638526966,10425.626553500973,45111.09,2024-01-08 12:00:00
69,1.0,-0.004610876734942394,0.0,0.23111005638526966,10379.51778615155,44911.58,2024-01-08 13:00:00
70,1.0,-0.002950582089870659,0.0,0.23111005638526966,10350.011965252843,44783.91,2024-01-08 14:00:00
71,1.0,0.004139874440029234,0.0,0.23111005638526966,10391.410709653135,44963.04,2024-01-08 15:00:00
72,1.0,-0.0005255442682200737,0.0,0.23111005638526966,10386.155266970934,44940.3,2024-01-08 16:00:00
73,1.0,0.016355658690385463,0.0,0.23111005638526966,10549.711853874789,45648.0,2024-01-08 17:00:00
74,1.0,0.030552980564189057,0.0,0.23111005638526966,10855.24165951668,46970.01,2024-01-08 18:00:00
75,1.0,0.00021585679266372608,0.0,0.23111005638526966,10857.400227443317,46979.35,2024-01-08 19:00:00
76,1.0,-0.0047456138978150195,0.0,0.23111005638526966,10809.944088465167,46774.01,2024-01-08 20:00:00
77,1.0,0.006873213076897991,0.0,0.23111005638526966,10878.676219234147,47071.41,2024-01-08 21:00:00
78,1.0,-0.0016505880227037778,0.0,0.23111005638526966,10862.170339007109,46999.99,2024-01-08 22:00:00
79,1.0,-0.0011312837260056767,0.0,0.23111005638526966,10850.857501747052,46951.04,2024-01-08 23:00:00
80,1.0,-0.0065210013509669805,0.0,0.23111005638526966,10785.647488237382,46668.88,2024-01-09 00:00:00
81,1.0,-0.0025944414929808773,0.0,0.23111005638526966,10759.703073307574,46556.62,2024-01-09 01:00:00
82,1.0,0.0051581453484626765,0.0,0.23111005638526966,10811.2845267922,46779.81,2024-01-09 02:00:00
83,1.0,0.003400784479709364,0.0,0.23111005638526966,10845.292371589294,46926.96,2024-01-09 03:00:00
84,1.0,-0.002852360315907026,0.0,0.23111005638526966,10816.768768430224,46803.54,2024-01-09 04:00:00
85,1.0,-0.0020538750710958993,0.0,0.23111005638526966,10796.230017719265,46714.67,2024-01-09 05:00:00
86,1.0,0.0016949611535295845,0.0,0.23111005638526966,10813.17962925456,46788.01,2024-01-09 06:00:00
87,1.0,0.0008666627114447692,0.0,0.23111005638526966,10821.846256369008,46825.51,2024-01-09 07:00:00
88,1.0,-0.006490957043636627,0.0,0.23111005638526966,10756.936685932642,46544.65,2024-01-09 08:00:00
89,1.0,-0.0012170255569250003,0.0,0.23111005638526966,10744.766430363392,46491.99,2024-01-09 09:00:00
90,1.0,-0.0011578613824900458,0.0,0.23111005638526966,10733.187816538491,46441.89,2024-01-09 10:00:00
91,1.0,0.004023626081667499,0.0,0.23111005638526966,10773.424077355166,46615.99,2024-01-09 11:00:00
92,1.0,-0.010391632575307267,0.0,0.23111005638526966,10669.507751602094,46166.35,2024-01-09 12:00:00
93,1.0,0.015430062914562587,0.0,0.23111005638526966,10823.80838074772,46834.0,2024-01-09 13:00:00
94,1.0,-0.006306993438754034,0.0,0.23111005638526966,10760.73844636018,46561.1,2024-01-09 14:00:00
95,1.0,0.007094847620971268,0.0,0.23111005638526966,10831.686922569892,46868.09,2024-01-09 15:00:00
